Line,Speaker,Text,Date,Party,Location,URL
7,Clinton,Thank you.,02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
15,Clinton,"I'm running for president to knock down all the barriers that are holding Americans back, and to rebuild the ladders of opportunity that will give every American a chance to advance, especially those who have been left out and left behind. I know a lot of Americans are angry about the economy. And for good cause. Americans haven't had a raise in 15 years. There aren't enough good-paying jobs, especially for young people. And yes, the economy is rigged in favor of those at the top. We both agree that we have to get unaccountable money out of our political system and that we have to do much more to ensure that Wall Street never wrecks main street again. But I want to go further. I want to tackle those barriers that stand in the way of too many Americans right now. African-Americans who face discrimination in the job market, education, housing, and the criminal justice system. Hardworking immigrant families living in fear, who should be brought out of the shadows so they and their children can have a better future. Guaranteeing that women's work finally gets the pay, the equal pay that we deserve. I think America can only live up to its potential when we make sure that every American has a chance to live up to his or her potential. That will be my mission as president. And I think together we will make progress.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
24,Clinton,"Judy, I think that the best analysis that I've seen based on Senator Sanders plans is that it would probably increase the size of the federal government by about 40%, but what is most concerning to me is that in looking at the plans -- let's take healthcare for example. Last week in a CNN town hall, the Senator told a questioner that the questioner would spend about $500 dollars in taxes to get about $5,000 dollars in healthcare. Every progressive economist who has analyzed that says that the numbers don't add up, and that's a promise that cannot be kept, and it's really important now that we are getting into the rest of the country that both of us are held to account for explaining what we are proposing because, especially with healthcare, this is not about math. This is about people's lives, and we should level with the American people about what we can do to make sure they get quality affordable healthcare.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
27,Clinton,"I can only say that we both share the goal of universal health care coverage. You know, before it was called Obamacare, it was called Hillarycare. And I took on the drug companies and I took on the insurance companies to try to get us universal health care coverage.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
29,Clinton,"And why I am a staunch supporter of President Obama's principal accomplishment -- namely the Affordable Care Act -- is because I know how hard it was to get that done. We are at 90 percent coverage. We have to get the remaining 10. I've set forth very specific plans about how to get costs down, especially prescription drug costs. And it is difficult to in any way argue with the goal that we both share. But I think the American people deserve to know specifically how this would work. If it's Medicare for all, then you no longer have the Affordable Care Act, because the Affordable Care Act, as you know very well, is based on the insurance system, based on exchanges, based on a subsidy system. The Children's Health Insurance Program, which I helped to create, which covers 8 million kids, is also a different kind of program. So if you're having Medicare for all, single-payer, you need to level with people about what they will have at the end of the process you are proposing. And based on every analysis that I can find by people who are sympathetic to the goal, the numbers don't add up, and many people will actually be worse off than they are right now.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
32,Clinton,"Well, let me just -- let me just say, once",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
34,Clinton,"...that, having been in the trenches fighting for this, I believe strongly we have to guarantee health care. I believe we are on the path to doing that. The last thing we need is to throw our country into a contentious debate about health care again. And we are not England. We are not France. We inherited a system that was set up during World War II; 170 million Americans get health insurance right now through their employers. So what we have tried to do and what President Obama succeeded in doing was to build on the health care system we have, get us to 90 percent coverage. We have to get the other 10 percent of the way to 100. I far prefer that and the chances we have to be successful there than trying to start all over again, gridlocking our system, and trying to get from zero to 100 percent.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
37,Clinton,"No. But it is absolutely fair and necessary for Americans to vet both of our proposals, to ask the really hard questions about, what is it we think we can accomplish, why do we believe that, and what would be the results for the average American family? In my case, whether it's health care, or getting us to debt-free tuition, or moving us toward paid family leave, I have been very specific about where I would raise the money, how much it would cost, and how I would move this agenda forward. I've tried to be as specific to answer questions so that my proposals can be vetted, because I feel like we have to level with people for the very reason, Gwen, that you are mentioning. There is a great deal of skepticism about the federal government. I'm aware of that. It comes from the right, from the left, from people on all sides of the political spectrum. So we have a special obligation to make clear what we stand for, which is why I think we should not make promises we can't keep, because that will further, I think, alienate Americans from understanding and believing we can together make some real changes in people's lives.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
40,Clinton,"I will put a price tag. My price tag is about $100 billion a year. And again, paid for. And what I have said is I will not throw us further into debt. I believe I can get the money that I need by taxing the wealthy, by closing loopholes, the things that we are way overdue for doing. And I think once I'm in the White House we will have enough political capital to be able to do that. But I am conscious of the fact that we have to also be very clear, especially with young people, about what kind of government is going to do what for them and what it will cost.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
44,Clinton,"You know, I think, again, both of us share the goal of trying to make college affordable for all young Americans. And I have set forth a compact that would do just that for debt-free tuition. We differ, however, on a couple of key points. One of them being that if you don't have some agreement within the system from states and from families and from students, it's hard to get to where we need to go. And Senator Sanders's plan really rests on making sure that governors like Scott Walker contribute $23 billion on the first day to make college free. I am a little skeptical about your governor actually caring enough about higher education to make any kind of commitment like that.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
52,Clinton,"Well, first, Judy, I have spent my entire adult life working toward making sure that women are empowered to make their own choices, even if that choice is not to vote for me. I believe that it's most important that we unleash the full potential of women and girls in our society. And I feel very strongly that I have an agenda, I have a record that really does respond to a lot of the specific needs that the women in our country face. So I'm going to keep making that case. I'm going to keep making sure that everything I've done, everything that I stand for is going to be well known. But I have no argument with anyone making up her mind about who to support. I just hope that by the end of this campaign there will be a lot more supporting me. That's what I'm working towards.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
55,Clinton,"Well, look, I think that she's been saying that for as long as I've known her, which is about 25 years. But it doesn't change my view that we need to empower everyone, women and men, to make the best decisions in their minds that they can make. That's what I've always stood for. And when it comes to the issues that are really on the front lines as to whether we're going to have equal pay, paid family leave, some opportunity for, you know, women to go as far as their hard work and talent take them, I think that we still have some barriers to knock down, which is why that's at the core of my campaign. I would note, just for a historic aside, somebody told me earlier today we've had like 200 presidential primary debates, and this is the first time there have been a majority of women on the stage. So, you know, we'll take our progress wherever we can find it.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
64,Clinton,"You know, I have said -- I have said many times, you know, I'm not asking people to support me because I'm a woman. I'm asking people to support me because I think I'm the most qualified, experienced, and ready person to be the president and the commander-in-chief.",02-11-2016,Democratic,"Milwaukee, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=111520
