urlDrugName,rating,Review,score
enalapril,4,"enalapril management of congestive heart failure - slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness monitor blood pressure , weight and asses for resolution of fluid",Low
ortho-tri-cyclen,1,"ortho-tri-cyclen birth prevention - Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well) Heavy Cycle, Cramps, Hot Flashes, Fatigue, Long Lasting Cycles. It's only been 5 1/2 months, but i'm concidering changing to a different bc. This is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results. I Hate This Birth Control, I Would Not Suggest This To Anyone.",Low
ponstel,10,"ponstel menstrual cramps - I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!! Heavier bleeding and clotting than normal. I took 2 pills at the onset of my menstrual cramps and then every 8-12 hours took 1 pill as needed for about 3-4 days until cramps were over. If cramps are bad, make sure to take every 8 hours on the dot because the medication stops working suddenly and unfortunately takes about an hour to an hour and a half to kick back in.. if cramps are only moderate, taking every 12 hours is okay.",high
prilosec,3,"prilosec acid reflux - The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life. Constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days. I was given Prilosec prescription at a dose of 45mg per day. Medication was taken once, every morning before eating. Each treatment duration was for 6 months.",Low
lyrica,2,"lyrica fibromyalgia - I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue. I felt extremely drugged and dopey.  Could not drive at all while on this med.  Also had extreme ankle and feet swelling and couldn't even wear shoes. See above",Low
propecia,1,"propecia hair loss - after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits Low sex drive, before i started taking this drug i was 19 years of age and full of ""enthousiasm"". Now engaged and 21 years old, my sex drive is very low, my wife and I are very unsatisfied. I am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks one pill once daily",Low
vyvanse,9,"vyvanse add - My mood has noticably improved, I have more energy, experience better sleep and digestion. a few experiences of nausiea, heavy moodswings on the days I do not take it, decreased appetite, and some negative affect on my short-term memory. I had began taking 20mg of Vyvanse for three months and was surprised to find that such a small dose affected my mood so effectively.  When it came to school work though I found that I needed the 30mg to increase my level of focus (and have been on it for a month since).  I had not experienced decreased appetite until about a month into taking the 20mg.  I find that the greatest benefit of Vyvanse for me is that it tends to stabalize my mood on a daily basis and lessens any bouts of anxiety and depression that i used to face before I was perscribed.",high
elavil,10,"elavil depression - Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage. None. One a day, taken about an hour before bedtime.",high
xanax,10,"xanax panic disorder - This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment. I really don't have any side effects other than the mild but very tolerable issue of taking it 4-5 times a day which isn't an effect but just the way you need to take this. At first, within the first 1 day then couple of weeks after starting, this medicine is broken down by your body fast and you need to adjust your dose. Once I got past the ups and downs of the first week or two of getting this increased from .25 mg - 3 times per day to what I'm on now things are so stable and just smooth. I first started taking this at 3 times per day with .25 mg pills. I was advised not to take as needed with my panic attacks as that would reinforce the idea of taking a pill when it's needed and not help me work around my anxiety. This is totally true. At first I wished to only take them as needed but with my doctor's advice, he was right. This really does work when you take it daily at 3-5 times per day. This way your body adjusts to what's going on with the panic and makes no association with taking a pill to prevent or stop it, they just don't start in the first place. Yes, I still do have minor attacks and worry episodes here and there but nothing at all like the many years before this. I wish that this extremely helpful medicine would not have such a bad name in media, news and pharmacies. This works wonders and there is no want or need to take more or become and addict. People and doctor's need to  understand more on how to treat someone with something that just WORKS, rather than trying to give them SSRI's which are what the drugs companies push, all for money reasons. And, the doctor's out there who decide that SSRI's are the only option, they need to go back to medical school!",high
claritin,1,"claritin allergies - none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen. I had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=19658&name=CLARITIN took one 10 mg pill nightly.",Low
flagyl,7,"flagyl bacterial vaginosis - I experienced complete clearing of the Vaginosis after the regimin was completed. I did get a mild yeast infection during treatment. I took the antibiotic as prescribed every day, twice a day, one pill each time. My Bacterial Vaginosis cleared up after treatment. However, I did have a slight yeast infection that went away with an OTC treatment.",high
dextroamphetamine,8,"dextroamphetamine add - Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts. Dexerine IR tablets need to be taken more often than adderall and also wear off more abruptly. Generic tablets are not high quality and somewhat expensive due to the need for a large quantity of tablets. Switched from Adderall to Dexedrine to compare the effects. Dexedrine is simply dextroamphetamine while Adderall is a mixture of Amphetamine salts. This might explain the increased effectiveness of the Dexedrine contrary to popular belief. I found it important to take several relatively low doses frequently to achieve a balanced effect.",high
sarafem,8,"sarafem depression - I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles. My sides effects were not noticeable and very mild.  I have noticed some lower libido while on Fluoxetine, but no other noticeable side effects. This was prescribes to me for treatment for depression, seasonable disorder and hormonal irritability.   I have gone off this medication while pregnant, but have resumed to help ease depression issues.",high
latisse,9,"latisse sparse eyelashes - For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.
Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too. My upper eyelids were red and itchy for the first 4-5 weeks but that went away and I have not had a problem since.  My eye exams have been normal with eye preassure normal. For the first 6-8 weeks I used one drop every night applied to upper lash base with a small disposable brush.  After my lashes had grown in I started using it every 2-3 nights instead of every night and the lashes have stayed longer and thicker than prior to treating them.",high
aldara,4,"aldara skin cancer - Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman. I felt an out of it feeling, like a depressed feeling, I was fatigued and I broke out with severe blisters on and around my lips. I used 1/4 of a packet(5% cream) on just my nose every other night and on alternating nights I put on an entire packet on my entire face.",Low
effexor-xr,8,"effexor-xr anxiety - reduction in anxiety, no panic attacks.  drug is extremely effective no side effects while on drug.  Super bad side effects while going off the drug.  Google searched it.  Lots of people with the same symptoms.  read up before you start it. took medication for 5 to 6 years.  Very hard to get off this drug.  I liked the way my anxiety was controlled, but it also inhibits all emotional response (at least in my case).  I didn't have any mood, emotion, nothing.  It gave me a very flat affect.  Also my doctor did not seem very informed toward drug side effects and withdrawl symptomologies.",high
neurontin,6,"neurontin nerve disorder - I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.

For the migraines
I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record. I have no side effect while taking Gabapentin but if I miss a couple of dosages or run out and wait for my next refill, I have moderate withdrawal syptoms. These syptoms include itchness, irrability, moodness, axiousness, and headaches.

Maxalt side effect for  me is throat feels contristricted shortly after taking medicine. I take 600mg of Gabapentin three times day. It seems to be effective but I feel I need a hire dosage as the longer I take it the more I experience relapses.I first started out with 300mg three times a day but it was ineffective.",high
omnicef,1,"omnicef sore throat ear infections - don't know yet back to pediatrician today My one year old daughter who has an awesome disposition (and always has) became restless and agitated. Very touchy, aggressive, crying a lot, and having a hard time sleeping. Also refluxing a lot and not nursing normally. It just dawned on me this morning it must be the medication. Will request another antibiotic today from the pediatrician. Thanks",Low
klonopin,8,"klonopin generalized anxiety disorder - Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid. Fatigue can sometimes be excessive.  High dependency. Used for general anxiety and as an adjunct for depression and chronic pain.  Very good at alleviating any anxiety and jittery feelings.  'Levels out' my mood but doesn't cause euphoria; I have no desire to take more than I need.  However I am very dependent on it; if I stop taking it for a couple of days I have bad nervousness and jitteryness, tachycardia, sweating, and other anxiety symptoms.  If I wanted to discontinue I would have to do _very_ slowly, but this is the nature of long-term benzodiazepine treatment.",high
dovonex,6,"dovonex psoriasis - Controlled the psoriasis, however did not reduce its presence. a ""halo"" a few shades lighter than the natural skin tone was present around the site of application, which would last about 12-24 hours. I found this time-consuming to apply 1-2 times daily.  Also, due to the ""halo"" effect, it was a little precarious to apply as well.",high
protopic,8,"protopic ezcema - cure the ezcema and it took aout teh roughest of the skin skin redness and flushes, sometimes the skin eels like it is on fire, and you feel very ho.
It is also very itchy when the skin is heeling because of the drug, sometimes you even wake up in the middle of the night because of the itchiness. But this only happens the first few days, when the skins is very bad with ezcema, after a few days, when the skin is better you don't feel you have put any treatment in the skin, and it feels as any othe normal moisturiser cream to apply once a day afeter cleaning the skin, and avoid direct sunlight",high
effexor,9,effexor panic attacks and depression - reduction of panic attacks and depression to almost nil nausea for first two weeks then no perceived ill effects started on a low dose (25mg) and built up to 150mg over 3 months which was reduced to 75mg per day after six months. This dose continues today. A six month treatment break resulted in a return of the symptoms so treatment was resumed at 25mg up to 75mg after one month.,high
sotret,10,"sotret acne - I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal. First, let me say that I didn't experience the awful side effects that some do with isotretinoin use.  I did turn very, very red around the perioral area and especially at the nasolabial folds.  My face felt as if I needed to peel it off and scratch deep down in the dermis.  In fact, that was my main complaint--the itchiness . . . and of course the dryness.  But the dryness was not nearly as bad as I expected.  For example, my lips never cracked.  However, I'm several years out from treatment , and I still have dry skin problems.  It's weird because my skin was always so oily and now it's dry.  But that could be attributed to normal aging.  Regardless, I've become a real connosiour of facial moisturizers.  My skin is also a little more sensitive post isotretinoin.  Tazorac one percent, which I used to slather on nightly like lotion, now sets me on fire if I dare to use the half percent version more than twice a week.  I know the literature claims there's no anti-aging efficacy if it isn't used daily, but I'm hoping for the best. I have to confess that I'm confused by this section.  There were no real ""details"" associated with my treatment aside from what I've alreay described.",high
retin-a-micro,8,"retin-a-micro anti-aging, acne - The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over. The side effects of the treatment included Redness, Dryness, Skin Irritation.  The skin was very dry and difficult to moisturize.  The skin looked red and irritated.   However, when I switched to a lighter skin cleanser, Cetaphil, this really helped improve the redness and dryness.  Prior to the Cetaphil i was using Roc cleansing pads which were too harsh on my skin. My routine included Daily use of Micro Retin A pump.  I applied the Retin A Micro pump to my entire face at night after washing my face.  I used a moisturizer and sun screen in the morning.",high
lamotrigine,9,lamotrigine epilpsy - fits settled down to maybe 1 a fortnight which were daily before this medication has gained quite abit of weight but as he has had problems gaining weight since being a toddler this isnt a bad thing givn by specialist after previous medicine epilim caused serious side effects still messing with dosage in the hope of getting his fits down to 0 but so far a vast improvement in seizures,high
rebif,6,"rebif multiple sclerosis - Reduce number of MS relapses Flu like symptoms- aches, fever subcutaneous injection 3x weekly",high
symbicort,10,"symbicort asthma, emphysema - I had taken Pulmicort, and other inhalants, with no major changes.  It became more difficult to maintain my exercise and lively life style. I gave in and began Symbicort and immediately experienced a relief of shortness of breath, weezing.  I feel like a new person. I still have a reaction to cold wind, and very high humidity, but so much better.  I rarely use my Albuterol. none I take one puff in the am, rinse my mouth and gargle.  I repeat the treatment in the evening before bed.",high
lamictal,8,"lamictal bipolar disorder and depression - I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level. There's one 'side effect' - and I'm purposely and playfully/sarcastically placing it within quotes:  this stuff has increased my sex-drive manyfold! I don't know if this has been the case with other patients, and I'm curious to know if anyone else has had that experience.
I'm also presenting with a little 'feathery tickle', resulting in an annoying dry cough; perhaps this side effect will lessen as my body adapts to the medication. My doctor started me on a minimal dose (25 mg) of Lamotrigine, and this will be prior to starting Interferon/Ribavarin treatment for the Hep-C I've got.  (An antidepressant may be added in the near future as well.) Lamotrigine was prescribed to put me in a calmer state of mind, specifically because of the high anxiety effect I receive from antidepressants, which resulted in 2 visits to an emergency room - as well as a one month hospital stay due to extreme anxiety and paranoia.
So far/so good is this layman's analysis.",high
lyrica,1,"lyrica fibromyalgia, failed back syndrome - It seemed to work at first, but then the side effects started. Fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). The hard part is I can't seem to get off this stuff!! The withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. It scares me so much that I just start taking it again. I'm stuck!! Don't ever start this stuff, there is something wrong with it. I don't know if I will ever be myself again. see above Lyrica 150mg twice a day",Low
doxycycline,8,doxycycline acne - decrease in acne pustules photosensitivity Take medication twice a day in combination with good skin care,high
vyvanse,8,"vyvanse adhd - Alert, awake, focused dry mouth, decreased appetite I have only been on Vyvanse for 2 weeks.  I started at 40 mg. and now at 60 mg. until next week where I will probably be upped to 70 mg.  I used to take Focalin and then found out I was bipolar so had to stop that for close to a year to become stable on lithium.  I feel alert, awake and focused and feel Vyvanse is very smooth and lasts longer.  Hope I get the weight loss benefits eventually.",high
actonel,7,"actonel osteoporosis - My  bone density's results have always been stable and I was told to continue with the drug. leg cramps during the night. Eight years ago I started with Fosamax for 3-4 years and then took Actonel.
In March, I decided not to take Actonel any longer.   I had been on it for too long and was fearful of esophageal cancer and bone breakage.  Now my doctor wants me to take the Prolia injections, which I am not going to do. I am not going to continue with any drugs.   My bone density recently done was in the minuses.  I do work with a personal trainer and execise daily.  I am searching for alternative ways to deal with this problem.",high
provigil,7,"provigil fatigue - I was more alert during the first part of the day but I found that it wore off by the afternoon. I could focus clearly, and if I needed a boost during the day another dose was enough. It may cause some nervousness or restlessness. Sometimes I felt like I had drank a large cup of coffee during its full potency. I took modafinil for cronic fatigue and general drousiness. I found it to be moderatly effective. 

In the morning after I would take a dose the effects were noticeble and even pronounced, however after about lunchtime it totally wore off and I would have to take another dose, but if the second pill is taken later in the day it sometimes would interfere with sleep so one must be carful to take the pill at the right time.",high
ambien,8,ambien insomnia - Sleeping 7-8 hours without hangover Memory loss It is a GODSEND. Fully rested in the am and feel like a new person. I am convinced it has kept me from sliding into a full depression. It works on 3 levels for me: 1. My body gets rest so I can 'fight' for another day. 2. My brain heals. 3. I can endure a difficult day knowing I can take the pill and go to sleep. I consider it a miracle cure for preventing a full blown depression. Wish I had it available to me years ago...could have changed my life. I would recommend to anyone in for a good experience while getting to sleep!,high
wellbutrin,10,"wellbutrin depression - I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before. A little bit of ""hyper"" feelings.  I take the entire dose at one time, daily, and have been advised that the feeling of being revved up would disspiate if I did take it in two or more doses during the day.  I try to minimize the effect by taking the medication first thing in the morning. I suffer chronic depression and the Wellbutrin is the first antidepressant that did not sedate me, and the only that did not dampen sexual feelings.  I have taken tricyclics (sp?) which were extremely sedating as well as limiting as far as OTC medications and dietary restrictions.  I have also tried SSRIs (prozac, zoloft, etc.)and while they temporarily relieved my depression, 1) the effect did not last more than 6 months, and 2) they completely destroyed my libido.",high
propecia,8,"propecia male pattern baldness - Ostensibly this will halt or even reverse the effects of male-pattern baldness. So far, one month in, there is not a great deal to report. I expected my hair loss to temporarily increase, as I had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. In other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. So far, this has not occurred. The product must be taken for up to two years for any noticeable hair growth to take place, so I really haven't been on it long enough to judge its re-growth potential. In terms of halting the process, however, I must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. I will post a fuller report in another forty-seven months, I suppose. I was surprised to experience brief blinding headaches in the upper left rear quadrant of my head, like a mini seconds-long burst of pressure that felt like a blunt object suddenly trying to explode out of my skull. This pressure would subside and I would go about my day. I'm told headaches are not one of the usual side-effects, so it may be an unrelated fluke. However, I've never had such an experience before, and it only manifested within about forty-eight hours of my first taking the drug and for seventy-two hours thereafter. The sudden and sporadic bursts of acute pain subsided, however, but I would caution anyone taking this drug for the first time to be on the lookout, especially if driving or in a public place with bright lights and a lot of noise around. Overall, whether I am having some sort of placebo-effect reaction or not, my subjective impression is that hair loss has slowed or stopped and that the hair remaining appears fuller. I presented my symptoms to the doctor and she issued a prescription that same day, which I filled that afternoon at a local pharmacy and began taking immediately. The formulation I was prescribed was 1 milligram, although I believe the usual prescription is for 2 milligrams and can go as high as 5 milligrams. My case was mild to begin with, so it may be difficult to judge results. However, other than the mild side-effects I described above, which subsided within three days, I must say overall that my experience has been a positive one.",high
nortriptyline,3,"nortriptyline a typical migraines - I have A-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  I also do have headacheds that seem to come from ears and the back of my neck.  It help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  It helped me to ignore my symptoms and helped me to get through the day. ringing in the ears, sensitivity to noise, phantom noise in head, which all lead to anxiety stopped medicine, looking for something else to help.",Low
imitrex,10,"imitrex migraine headaches - migraine headache would stop dizzy, palpitations I have taken both the shots and the pills (separately) and they both worked well.  I would need to take the pills before getting sick to stomach, because if after, I could not keep pills down.  The shot worked regardless of when I took it.",high
ativan,9,"ativan anxiety - Assists with getting to sleep and due to longer half life than other anxiolytics(ie Alprazolam)anxiety is less upon waking. Whilst Alprazolam is extrememly effective for immediate reduction in arousal, I find Lorazepam more effective for overall lowering of anxiety.It has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication. As with all Benzodiazepines withdrawl is very noticeable if undertaken quickly. Lightheadedness, anxiety, dizzy spells, general feeling unwell.
In my experience the suggested half life in relation to reducing intake of these drugs is very misleading. Reduction for me has to be done very slowly over a number of weeks not days as usually suggested by physicians. Taken for anxiety,initially in an acute stage. This was followed by a decision by patient (myself) to continue for 3 months in order to reduce arousal levels whilst undertaking therapy using the theraputic model ACT.",high
doxycycline,10,"doxycycline severe peridontal disease - I had   persistent periodontal problems, both stressful and painful.  Every dentist I saw  told me I was going to lose my teeth.  This drug  cleared up the condition.  It protected me against inflammation for the entire period of time that I took it.  I continued taking the drug much longer than is usually recommended because it was so effective. The effectiveness did not seem to diminish. None. A dentist in my dental HMO prescribed it and was willing to continue to do so because I implored him to do so.",high
prozac,7,"prozac depression - relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget. Sleepy and lack of response to problems.  Took too long to get started.  I think anyone else would think it wasn't effective and stop taking it. took a seemingly long period of time to become effective.  Once started, however, it did what I expected.  It is hard to be without now and think that it will be a problem stopping in the future.",high
topamax,6,"topamax seizures,migraines,fibro. - To stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes alittle weight loss but I was thin already the worst thing was Hair loss for me and the feeling of pins and needles in the feet got worse, the Dr increased my dose from 200mgs t0 300 mgs af ter four years because I had a few seizures ,and after only two to three weeks I had so many side affects ,I had not had in all of the four years that I had been taken the 200 mgs my hair came out,blurry vision,dehydration forgetfulness,you name it I had not delt with this before only read about this except for the hair and I have always had lots of it so you know how upset I was.. needless to say Istopped taking the extra 100mgs and went back to my old dosage with hopes tha everything will goe back to where it was ,trying to get in touch with the Dr. as I type now... Does anyone know if the side affects will goe away? take two 100 mgs tablets in am when I was given the increase I was told to take two 100 mgs tablets in the am and 1 in the evening before bed",high
levitra,10,levitra ed - The stuff works like a charm--fast and effective. None One pill 30 mins. before activity,high
oxycodone,7,"oxycodone possible lymphoma/kidney pain - The drug was pretty good for pain. They had me on morphine, which was horrible. The pain was preferable to the crazy dreams and paranoia I had. They then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects. Sleepiness, dizziness, light-headedness & nausea. I only took them when the pain was unbearable, so I might have gotten used to the side effects if I had kept the levels up in my system. I just took the pills every 4-6 hours when the kidney pain was too bad. I tried to only take them at night as the conditions improved since they made me sleep. I stopped takeing them long before the infections and colon problems were resolved, as I don't like takeing drugs.",high
lamictal,8,"lamictal seizure disorder - Effective at controlling seizures without dizziness There were no side effects I took Dilantin for decades.  My doctor moved me to Trileptal; it was not 100% effective and caused dizziness, plus it was very expensive.  Lamictal controls my seizures, although I still get headaches (auras).  I would like to be completely free of these headaches, but this is still better than previous medications.",high
oxycontin,7,"oxycontin post surgical pain - Able to tolerate the pain Loss of appetite, dizzy Following a nasal reconstruction and bone graft to 
my nasal bridge pain relief was prescribed.  My nose 
was crushed in an accident.
I did not think that it would be necessary, however
the procedure turned out to be extremely painful for
several days. The pain medication allowed me to tolerate the pain, however it made it impossible for me to function normally. All I could do was sleep and remain in a haze until the pain diminished",high
vicodin,8,vicodin broken collarbone - very effective pain killer constipation take the pills for pain,high
accutane,9,"accutane acne - Eventually Cleared my moderate acne. Had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after 5 months Hair loss! Not so much from my head, but other places such as arms etc. Dry lips were the worst, tried many different products but eventually carmex solved that. Dry skin slightly, not too much of a probelem. Depression was bad, would have no motivation to do anything and hated everything around me. After stopping the drug this discontinued and i deem it acceptable to have, for the results of clear skin. I can't remember ever having the initial flare ups/breakouts other people have reported. I was warned about this by my dermatologist but i can't say i remember it. I noticed no difference in the first few months and became very frustrated at this. It was only towards the end of the fourth month that it started to become noticablly clearer with only a few spots. By the end of the fifth month i was clear, and remained clear for a year. However the oilyness of my skin has returned and i would now class my skin as having mild acne, but it only affects the areas around my nose, unlike before where i had it all over my cheeks. If you notice any spots return, contact your derm to be put on a second course of accutane as i am, otherwise it can return more serverly and undo all the progress you have previously made.",high
zocor,10,"zocor high cholestoral - Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time. I had soreness of muscles for the first several weeks which finally went away. I started on the medication 3yrs ago and still take it today with continued good results and no side effects.",high
aldara,10,"aldara basal cell carcinoma - The cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended. I had no side effects.  Some people think the ulcerated scabby areas are side effects, but this is what the cream is designed to do, make bad cells react and destruct. The cream is applied at bedtime for five nights a week for Basal Cell Carcinoma.  Three night per week for actinic keratosis.  You do this for eight weeks in a row.  By the end of eight weeks, the bad cells react gradually as scabby spots.  This is how you know the medicine is working.  You put the cream on the spots your doctor tells you to, with about an inch margin all around it.",high
ortho-tri-cyclen,10,"ortho-tri-cyclen birth control - No undesired pregnancies, lighter period none One pill daily.",high
minocycline,6,"minocycline treatment of acne - I took Minocycline hoping that it would clear up my acne. I have been taking Tetracycline for over 2 years without no result, frustrated, my doctor prescribed Minocyline. After 1 year, I was still having break out just not as bad. The treatment had no side effect on me. I don't have severe acne problem, just occasional break out.  I was prescribed Minocycline by my doctor and was advised to take it once a day for treatment of my acne.  I was told that it would take up to six month to see result.  After more than a year being on it, it did very little for me.  I was still breaking out, it just that some of my break out was not as bad.  Bottom line, I was not satisfied because it did not help clear up my acne altogether.",high
estrace,10,"estrace replacement thearpy - no menopose benifits are loss off sytoms of menopose. improved mood leval. I have felt more energectic aand as stated a general mood elevation. I have started working out , less irratable and overall calmer. The hormone replacement has improved my lifestyle and relationships to others. I am know longer quick tempered or irritable. I have had some tirdeness and general sleep problems. I dont know if this was due to estrace or not. I have been someonewhat confused about hoe my energy has increased but my tirdness usually is in the morning when I take estrace. Perhaps I should try evening. i started 5 years ago due to hystromectery I hve a mood disorder and it was felt that menopose would complicate that. Since then I have thought it was the right decision and have been grateful foe the doctors suggestion.",high
meridia,10,"meridia over weight - Lost over 30 pounds and still going! The first week I had a very dry mouth all the time. So I started taking 15mg Meridia once daily and lost 20 pounds in the first month. I was so excited, I never expected this pill to work at all.
But Then the following week I gained 8 pounds, so I stopped taking it. Its been 2 months now since I have taken one and I've lost an additional 19 pounds since I have stopped. 
I notice that I will usually gain a pound or two and the following week loose 4 or 5. Sometimes I'll have 2 weeks of no weight lose followed by a week of pretty dramatic weight lose.
I would never have been able to lose the weight without using Meridia to start off. I don't know if my stomach has shrunk or if I just have a better idea of how much to eat and what to do to lose weight, regardless I'm thrilled and couldn't be happier with the results!",high
sotret,8,"sotret acne - acne cleared totally,skin became even. keloid scars on the back which appeared about 5 months after the end of treatment,without any preceeding trauma to the region.
Dryness of skin and mucous membranes that was not very severe.Dizziness and tiredness sometimes. conglobate acne treatment with roaccutane 1mg/kg, lasting 6 months.the patient took 60 mg daily.",high
prevacid,10,prevacid stomach pain - After 2 days of taking the medication my stomach pain subsided.  The burning i also began to go away.  it took a full week for everything to return to normal for mw. While I have been taking the medicaion I have not experience any side effects.  The only thing that bothered me was that it took about 2 dayss to see improvement which was not a long time but when you are uncomfortable it seems much longer. Went to doctor because of burning and pain in my stomach.  As long as I was consantly full my stomach was better but the second it became empty I was back to being uncomfortable.  I want to get rid of these symptoms before I became over weight so i went to my doctor and he started me on 60 mg for 1 week and then I was changed to 30 mg once a day and after a couple of days I felt much better. and have every since.,high
cosopt,9,cosopt glaucoma - The pressure in my eyes decreased with use over a period of four months. There is a mild burning in my eyes for a couple of minutes after the drops are out in. The drops are administered twice a day approximately 12 hours apart. It is usually necessary to keep eyes closed for a minute or two until the burning subsides.,high
